수집일자,매장명,추출된_키워드,키워드_개수
2026-04-02,달빛에구운고등어 만성점,"화덕생선구이, 화덕고등어구이, 뚝배기고등어조림, 화덕임연수구이, 화덕삼치구이",5
2026-04-02,달빛에구운고등어 어양점,"익산생선구이, 익산고등어구이, 영등동생선구이, 어양동생선구이, 달빛고",5
2026-04-02,달빛에구운고등어 도마점,"고등어구이, 생선구이, 갈치구이, 삼치구이, 보리굴비",5
2026-04-02,달빛에구운고등어 송천점,"달빛고, 화덕생선구이, 전주생선구이, 가족식사, 송천동생선구이",5
2026-04-02,달빛에구운고등어 평화점,"평화동생선구이, 전주생선구이, 화덕생선구이, 고등어구이, 달빛고",5
2026-04-02,달빛에구운고등어 관저점,"생선구이, 고등어, 화덕, 한식, 생선",5
2026-04-02,달빛에구운고등어 전북도청점,"한식, 고등어, 생선, 정식, 점심특선",5
2026-04-02,달빛에 구운 고등어 전주아중점,"아중생선구이, 달빛고, 아중리계란말이, 전주생선구이, 전주셀프바",5
2026-04-02,달빛에구운고등어 모현점,"점심, 부모님식사가족식사, 익산생선구이, 익산역, 모현동저녁",5
2026-04-02,달빛에구운고등어 대전효동점,"대전고등어, 대전생선구이, 대전효동생선구이, 대전효동고등어, 달빛에구운고등어대전",5
2026-04-02,달빛에구운고등어 첨단점,"생선구이, 갈치구이, 고등어구이, 삼치구이, 달빛고",5
2026-04-02,달빛에구운고등어 군산미장점,"고등어구이, 생선구이, 달빛에구운고등어, 군산생선구이, 군산외식",5
2026-04-02,달빛에구운고등어 상무점,"고등어구이, 생선구이, 갈치구이, 근처, 동네",5
2026-04-02,달빛에구운고등어 분평점,"생선구이, 한식, 고등어구이정식, 달빛고, 청주분평점",5
2026-04-02,달빛에구운고등어 김제점,"고등어구이, 모듬구이, 삼치구이, 생선구이",4
2026-04-02,달빛에구운고등어 평택송탄점,"한정식, 한식, 화덕생선구이, 가족모임, 건강식",5
2026-04-02,달빛에구운고등어 진해점,"고등어구이, 화덕생선구이, 진해점심, 진해밥집, 달빛고",5
2026-04-02,달빛에구운고등어 대전월드컵점,"유성생선구이, 구암역생선구이, 현충원역생선구이, 월드컵경기장생선구이, 장대동생선구이",5
2026-04-02,달빛에구운고등어 동탄예당마을점,"화덕생선구이, 프리미엄생선구이, 생선구이, 달빛고, 동탄생선구이",5
2026-04-02,달빛에구운고등어 부안점,"달빛고, 부안생선구이, 화덕생선구이, 부안군생선구이, 부안고등어",5
2026-04-02,달빛에구운고등어 대전관평점,"생선구이, 화덕생선구이, 달빛고, 대전생선구이",4
2026-04-02,달빛에구운고등어 오산점,"오산, 생선구이, 점심, 밥집, 고등어",5
2026-04-02,달빛에구운고등어 중촌점,"중촌동, 선병원, 달빛에구운고등어, 생선구이, 달빛구운고등어",5
2026-04-02,달빛에구운고등어 수완장덕점,"생선구이, 고등어구이, 갈치구이, 가족식사부모님식사외식가성비, 점심내돈내산밥집주차찐맛",5
2026-04-02,달빛에구운고등어 남원점,"달빛고, 화덕생선구이, 남원생선구이, 가족식사, 남원외식",5
2026-04-02,달빛에구운고등어 목포대양점,"생선구이, 고등어, 목포생선구이, 점심식사, 삼향동식당",5
2026-04-02,달빛에구운고등어 순천법원점,"달빛고, 고등어구이, 순천생선구이, 순천가족식사, 순천한식",5
2026-04-02,달빛에구운고등어 논산점,"논산훈련소, 탑정호, 선샤인랜드, 관촉사, 벚꽃",5
2026-04-02,달빛에구운고등어 세종대평점,"달빛고, 화덕생선구이, 가족식사, 세종생선구이, 생선구이",5
2026-04-02,달빛에구운고등어 대구시지점,"달빛고, 화덕생선구이, 대구생선구이, 경산생선구이, 가족식사",5
2026-04-02,달빛에구운고등어 부산송정점,"달빛고, 화덕생선구이, 송정생선구이, 무한리필, 해운대생선구이",5
2026-04-02,달빛에구운고등어 화성향남점,"고등어구이, 향남생선구이, 향남가족외식, 화덕생선구이, 달빛고",5
2026-04-02,달빛에구운고등어 청주율량점,"달빛고, 화덕생선구이, 청주생선구이, 고등어구이, 모듬생선구이",5
2026-04-02,달빛에구운고등어 보령점,"달빛고, 보령가족외식, 고등어구이, 생선도시락, 점심식사",5
2026-04-02,달빛에구운고등어 풍암점,"생선구이, 무한리필, 가족외식단체모임회식, 고등어구이갈침삼치고등어조림, 점심가성미내돈내산찐맛밥집",5
2026-04-02,달빛에구운고등어 천안구성점,"달빛고, 천안생선구이, 생선구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 평택비전점,"평택대학교근처점심저녁생선구이, 소사벌주변찐단체회식가성비식당, 평택역내돈내산직장인배달고등어, 내돈내산단체모임가족밥집달빛고, 시청",5
2026-04-02,달빛에구운고등어 수원월드컵점,"수원생선구이, 화덕생선구이, 달빛고, 고등어구이, 생선구이",5
2026-04-02,달빛에구운고등어 광주진월점,"가족외식, 점심, 생선구이, 고등어갈치삼치구이고추장불고기, 밥집내돈내산가성비찐맛주차",5
2026-04-02,달빛에구운고등어 용인죽전점,"달빛고, 죽전생선구이, 화덕생선구이, 죽전고등어, 용인고등어",5
2026-04-02,달빛에구운고등어 당진시청점,"달빛고, 화덕생선구이, 고등어구이, 갈치구이, 계란말이",5
2026-04-02,달빛에구운고등어 정읍점,"달빛고, 정읍생선구이, 정읍가족식사, 정읍무한리필, 고등어구이",5
2026-04-02,달빛에구운고등어 유가현풍점,"달빛고, 현풍생선구이, 화덕생선구이, 유가생선구이, 테크노폴리스생선구이",5
2026-04-02,달빛에구운고등어 부산 명지국제신도시점,"화덕생선구이, 달빛고, 고등어구이, 무한리필, 외식",5
2026-04-02,달빛에구운고등어 포항양덕점,"화덕생선구이, 무한리필, 가족외식, 고등어구이",4
2026-04-02,달빛에구운고등어 원주우산점,"달빛고, 화덕생선구이, 고등어구이, 무한리필, 가족외식",5
2026-04-02,달빛에구운고등어 용인유림점,"화덕생선구이, 고등어구이, 가족, 반찬, 단체",5
2026-04-02,달빛에구운고등어 나주혁신점,"달빛고, 화덕생선구이, 고등어구이, 무한리필, 외식",5
2026-04-02,달빛에구운고등어 계양구청점,"한정식, 점심, 가족모임, 연말모임, 인천어린이과학관",5
2026-04-02,달빛에구운고등어 여수시청점,"점심식사, 무한리필, 화덕생선구이, 고등어구이",4
2026-04-02,달빛에구운고등어 파주운정점,"달빛고, 화덕생선구이, 점심식사, 무한리필, 고등어구이",5
2026-04-02,달빛에구운고등어 천안신방점,"화덕생선구이, 점심식사, 달빛고, 고등어구이, 무한리필",5
2026-04-02,달빛에구운고등어 목포하당점,"고등어구이, 달빛고, 화덕생선구이, 무한리필, 가족외식",5
2026-04-02,달빛에구운고등어 아산온천점,"고등어구이, 생선구이, 아산모임, 가족모임, 가정식백반",5
2026-04-02,달빛에구운고등어 부천약대오거리점,"화덕생선구이, 고등어구이, 가족식사, 달빛고, 무한리필",5
2026-04-02,달빛에구운고등어 서산점,"화덕생선구이, 고등어구이, 달빛고, 갈치구이, 가족식사",5
2026-04-02,달빛에구운고등어 청주지웰점,"화덕생선구이, 고등어구이, 갈치구이, 가족식사, 아침식사",5
2026-04-02,달빛에구운고등어 인천송도점,"송현아식당, 송도단체모임식당, 한식, 가족모임식당, 스마트스퀘어식당",5
2026-04-02,달빛에구운고등어 진주혁신점,"달빛고, 고등어구이, 화덕생선구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 수원망포점,"달빛고, 고등어구이, 화덕생선구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 세종장군점,"달빛고, 화덕생선구이, 고등어구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 양산물금점,"달빛고, 무한리필, 한정식, 가족식사, 양산물금화덕생선구이",5
2026-04-02,달빛에구운고등어 대구칠곡점,"달빛고, 화덕생선구이, 한정식, 가족식사, 고등어구이",5
2026-04-02,달빛에구운고등어 남양주별내점,"달빛고, 고등어구이, 화덕생선구이, 무한리필, 외식",5
2026-04-02,달빛에구운고등어 김포양촌구래점,"달빛고, 고등어구이, 화덕생선구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 광양점,"화덕생선구이, 무한리필, 한정식, 고등어구이, 달빛고",5
2026-04-02,달빛에구운고등어 순천신대점,"달빛고, 고등어구이, 화덕생선구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 부산괴정점,"달빛고, 고등어구이, 화덕생선구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 포항이동점,"달빛고, 고등어구이, 화덕생선구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 부산동래점,"달빛고, 화덕생선구이, 고등어구이, 가족외식, 무한리필",5
2026-04-02,달빛에구운고등어 울산일산점,"달빛고, 화덕생선구이, 가족외식, 무한리필, 고등어구이",5
2026-04-02,달빛에구운고등어 일곡삼각점,"달빛고, 화덕생선구이, 가족외식, 무한리필, 고등어구이",5
2026-04-02,달빛에구운고등어 파주심학산점,"달빛고, 화덕생선구이, 가족외식, 무한리필, 고등어구이",5
2026-04-02,달빛에구운고등어 부산센텀점,"달빛고, 고등어구이, 화덕생선구이, 가족식사, 무한리필",5
2026-04-02,달빛에구운고등어 부산화명점,"달빛고, 가족외식, 무한리필, 화덕생선구이, 고등어구이",5
